City,Address,Number_of_rooms,Type,Price_in_dollars,All_Method,REA,Dateofsold,DistanceKM,Postcode,Bathroom,car_place,LandSizeMetres,BuildinSizeMetres,YearBuilt,CouncilArea,Lattitude,Longtitude,GeneralRegion,No_of_properties
Canterbury,16 Church St,4,h,,S,Marshall,13-05-2017,9,3126,1,1,665,183,1890,Boroondara City Council,-37.8272,145.0848,Southern Metropolitan,3265
Epping,5 Miro Pl,4,h,,PI,Harcourts,03-06-2017,19.6,3076,2,2,350,213.23,2009,Whittlesea City Council,-37.63672,145.02271,Northern Metropolitan,10926
Camberwell,3 Lesley St,4,h,2200000,PI,Noel,03-03-2018,7.7,3124,2,4,944,242,1950,Boroondara City Council,-37.84593,145.09538,Southern Metropolitan,8920
Brunswick East,256 Stewart St,3,h,930000,PI,Nelson,04-03-2017,4.5,3057,2,2,138,,,Moreland City Council,-37.7658,144.9823,Northern Metropolitan,5533
Bentleigh,3/561 South Rd,2,u,604000,S,Jellis,21-10-2017,11.4,3204,,,,,,Glen Eira City Council,,,Southern Metropolitan,6795
Niddrie,2/50 Jackson St,3,u,700000,S,Nelson,18-06-2016,11.2,3042,1,1,202,,,Moonee Valley City Council,-37.7389,144.887,Western Metropolitan,2291
Seddon,29 Tennyson St,3,h,950000,S,Village,13-05-2017,6.6,3011,1,0,220,,1920,Maribyrnong City Council,-37.8077,144.8883,Western Metropolitan,2417
Glenroy,25 Valley Cr,3,h,,SN,Peter,18-11-2017,11.2,3046,1,2,591,,,Moreland City Council,-37.7008,144.9072,Northern Metropolitan,8870
Parkdale,4/17 Bay St,3,t,,PN,Hodges,03-03-2018,21.5,3195,,,,,,Kingston City Council,,,South-Eastern Metropolitan,5087
Mernda,36 Jackaroo St,3,h,540000,SP,HAR,03-03-2018,25.9,3754,2,1,336,,,Whittlesea City Council,-37.59245,145.08937,Northern Metropolitan,5812
Glen Waverley,2/11 Evelyn St,4,t,2435000,SP,Harcourts,03-03-2018,16.7,3150,,,,,,Monash City Council,,,Eastern Metropolitan,15321
Balwyn North,30 Clifton St,4,h,1572000,S,hockingstuart,07-05-2016,9.2,3104,2,2,662,330,1965,Boroondara City Council,-37.798,145.1007,Southern Metropolitan,7809
Brunswick West,3/33 McLean St,2,t,563000,S,Brad,28-10-2017,5.2,3055,,,,,,Moreland City Council,,,Northern Metropolitan,7082
Balwyn,25 Percy St,5,h,2550000,S,Marshall,10-12-2016,9.7,3103,3,2,642,,1930,Boroondara City Council,-37.8096,145.0735,Southern Metropolitan,5682
Forest Hill,4 Ripon Ct,3,h,1057500,S,McGrath,25-11-2017,15.4,3131,1,1,831,,,Whitehorse City Council,-37.8303,145.1714,Eastern Metropolitan,4385
Ashburton,18 Alamein Av,3,h,1445000,S,Jellis,12-11-2016,11,3147,,,,,,Boroondara City Council,,,Southern Metropolitan,3052
Fairfield,52 Rayment St,3,h,1350000,VB,Nelson,19-11-2016,5.8,3078,1,4,553,109,1930,Darebin City Council,-37.7728,145.0214,Northern Metropolitan,2970
Craigieburn,24 Ballarat Ct,4,h,,PI,Barry,21-10-2017,20.6,3064,2,2,,180,2005,Hume City Council,-37.58171,144.93252,Northern Metropolitan,15510
Ardeer,84 McLaughlin St,3,h,630000,SP,Barry,03-02-2018,12.8,3022,1,1,,118,1954,Brimbank City Council,-37.7807,144.80031,Western Metropolitan,1281
Oak Park,1/51 Curie Av,3,u,555000,PI,D'Aprano,17-03-2018,11.2,3046,,,,,,Moreland City Council,,,Northern Metropolitan,2651
Epping,26 Paul Cr,4,h,,PI,Harcourts,22-07-2017,19.6,3076,3,2,766,,,Whittlesea City Council,-37.63521,145.0302,Northern Metropolitan,10926
Hampton,68/15 Beach Rd,3,u,,SP,Buxton,03-06-2017,13.8,3188,2,2,0,,,Bayside City Council,-37.93464,144.99601,Southern Metropolitan,5454
Balwyn,142 Balwyn Rd,2,h,1850000,VB,Fletchers,06-08-2016,9.7,3103,1,1,1015,166,1930,Boroondara City Council,-37.8074,145.0826,Southern Metropolitan,5682
Maribyrnong,8 Mitchell St,4,h,1340000,S,hockingstuart,08-07-2017,4.3,3032,1,3,697,155,1920,Maribyrnong City Council,-37.78352,144.88981,Western Metropolitan,4918
Doncaster East,9 Pickering Pl,5,h,1250000,VB,Barry,28-10-2017,14.3,3109,3,2,,360,1985,Manningham City Council,-37.76692,145.17795,Eastern Metropolitan,10999
Elsternwick,15 Murray St,4,h,3000000,S,Biggin,18-03-2017,8.5,3185,2,2,661,204,,Glen Eira City Council,-37.8844,145.0117,Southern Metropolitan,4898
Glen Waverley,2/18 Tulloch Gr,3,t,,VB,Fletchers,11-11-2017,16.7,3150,,,,,,Monash City Council,,,Eastern Metropolitan,15321
Northcote,16 Candy St,3,h,1680000,S,Nelson,03-03-2018,5.3,3070,2,1,276,135,1910,Darebin City Council,-37.77984,144.99786,Northern Metropolitan,11364
Fitzroy North,181 Rae St,2,h,937500,S,Jellis,23-04-2016,3.5,3068,1,0,100,72,1890,Moreland City Council,-37.788,144.9791,Northern Metropolitan,6244
Coburg,87 Nicholson St,4,h,1085000,S,Brad,19-08-2017,6.7,3058,2,1,430,155,1920,Darebin City Council,-37.7505,144.97649,Northern Metropolitan,11204
Maribyrnong,29 Lakeside Cr,4,h,1650000,VB,Biggin,04-06-2016,8.7,3032,,,,,,Maribyrnong City Council,,,Western Metropolitan,4918
Hawthorn East,2/96 Campbell Rd,4,h,,S,Jellis,03-09-2017,6.2,3123,,,,,,Boroondara City Council,,,Southern Metropolitan,6482
Ascot Vale,78 The Parade,3,h,1440000,S,Nelson,11-02-2017,5.9,3032,1,1,487,131,1900,Moonee Valley City Council,-37.7725,144.9146,Western Metropolitan,6567
Hawthorn,31 Smart St,2,h,1800000,S,Jellis,13-05-2017,4.6,3122,1,0,221,106,1900,Boroondara City Council,-37.8163,145.0251,Southern Metropolitan,11308
Seaford,15 East Rd,3,h,960000,S,Buxton,17-03-2018,35.4,3198,2,2,1228,,,Frankston City Council,-38.10471,145.14203,South-Eastern Metropolitan,8077
Mernda,26 Coppice St,4,h,670000,S,Harcourts,01-07-2017,25.9,3754,2,2,512,221,2012,Whittlesea City Council,-37.58676,145.08889,Northern Metropolitan,5812
Cairnlea,39 Waterview Dr,4,h,1206000,S,HAR,21-10-2017,14.8,3023,3,4,,,,Brimbank City Council,-37.76264,144.78245,Western Metropolitan,2674
Brunswick,144A Glenlyon Rd,2,h,840000,S,Jellis,12-11-2016,5.2,3056,1,1,186,,,Moreland City Council,-37.7727,144.9707,Northern Metropolitan,11918
Melbourne,703/8 Exploration La,2,u,,PI,Harcourts,08-07-2017,0,3000,2,0,0,50,2010,Melbourne City Council,-37.80919,144.96846,Northern Metropolitan,17496
Camberwell,6 Judd St,3,t,1625000,S,Jellis,25-02-2017,7.8,3124,2,2,283,160,1990,Boroondara City Council,-37.8362,145.064,Southern Metropolitan,8920
Truganina,26/1 Clearwater Rise Pde,2,t,355000,SP,Biggin,17-03-2018,18.4,3029,,,,,,Melton City Council,,,Western Metropolitan,5811
Moonee Ponds,2/118 Holmes Rd,2,u,330000,SP,Jellis,22-05-2016,6.9,3039,1,1,0,54,1970,Moonee Valley City Council,-37.7654,144.9094,Western Metropolitan,6232
Yallambie,252 Yallambie Rd,3,h,720000,S,Buckingham,24-09-2016,15,3085,2,4,535,,,Banyule City Council,-37.7225,145.1037,Northern Metropolitan,1369
Carrum Downs,1 Broderick Rd,4,h,546000,SP,Harcourts,26-08-2017,34.9,3201,1,1,646,103,1987,Frankston City Council,-38.10346,145.18159,South-Eastern Metropolitan,8060
Port Melbourne,409/216 Rouse St,2,u,665000,SP,Cayzer,03-06-2017,3.5,3207,2,1,1472,81,2010,Melbourne City Council,-37.84096,144.93791,Southern Metropolitan,8648
Reservoir,1/80 Delaware St,2,t,615000,S,Ray,20-05-2017,11.2,3073,1,1,202,,,Darebin City Council,-37.7199,145.0091,Northern Metropolitan,21650
Ardeer,22 Holt St,3,h,615000,S,Barry,14-10-2017,12.8,3022,1,3,642,197,1970,Brimbank City Council,-37.7753,144.7994,Western Metropolitan,1281
Blackburn,4/5 Dewrang Cr,3,u,1095000,S,Fletchers,01-07-2017,13.4,3130,,,,,,Whitehorse City Council,,,Eastern Metropolitan,5713
Doncaster East,39A Brindy Cr,3,t,940000,PI,Barry,25-11-2017,14.3,3109,,,,,,Manningham City Council,,,Eastern Metropolitan,10999
Burwood,8 Scott Gr,3,h,,SA,Buxton,03-06-2017,10.4,3125,1,1,423,84,1950,Monash City Council,-37.85155,145.09769,Southern Metropolitan,5678
Keilor East,4A Susan Ct,3,h,870000,VB,Nelson,03-09-2017,11.7,3033,2,1,,180,2010,Brimbank City Council,-37.73124,144.8724,Western Metropolitan,5629
Hughesdale,3/9 Clapham Rd,2,u,472000,S,LITTLE,22-07-2017,12.3,3166,1,1,0,70,1970,Monash City Council,-37.89369,145.08354,Southern Metropolitan,3145
Ivanhoe East,41 McArthur Rd,4,h,1740000,S,Miles,07-11-2016,9,3079,3,3,948,249,1960,Banyule City Council,-37.7759,145.063,Eastern Metropolitan,1554
MacLeod,43 Wungan St,3,h,710000,S,Ray,22-07-2017,12.7,3085,,,,,,Banyule City Council,,,Northern Metropolitan,4168
Wheelers Hill,34 Strickland Dr,4,h,1540000,S,Barry,14-10-2017,16.7,3150,2,2,732,210,1980,Monash City Council,-37.8943,145.18588,South-Eastern Metropolitan,7392
Yarraville,27 Drew St,3,h,910000,VB,Jas,11-11-2017,6.3,3013,1,2,440,,,Maribyrnong City Council,-37.8166,144.8745,Western Metropolitan,6543
Brunswick,9/31 Staley St,2,u,,SP,Nelson,24-09-2016,5.2,3056,1,1,0,55,1960,Moreland City Council,-37.7644,144.9637,Northern Metropolitan,11918
Nunawading,31 Olwen St,4,h,1100000,S,Fletchers,01-07-2017,15.4,3131,2,3,596,136,1975,Manningham City Council,-37.80827,145.18099,Eastern Metropolitan,4973
Oak Park,74 Devereaux St,3,h,840000,SP,Nelson,17-06-2017,11.2,3046,1,1,722,115,1960,Moreland City Council,-37.71433,144.90616,Northern Metropolitan,2651
Wantirna South,12 McLean Ct,4,h,1440000,S,Ray,16-09-2017,14.7,3152,3,6,717,247,1985,Knox City Council,-37.87831,145.24575,Eastern Metropolitan,7082
Glen Iris,34 Essex St,2,h,1350000,VB,hockingstuart,07-10-2017,7.3,3146,1,2,,,,Boroondara City Council,-37.86224,145.05907,Southern Metropolitan,10412
Brighton,10B Hall St,3,t,1802000,S,Marshall,14-10-2017,10.5,3186,2,2,,,,Bayside City Council,-37.91797,145.00182,Southern Metropolitan,10579
Glen Iris,8/25 Osborne Av,2,u,,SP,Marshall,10-09-2016,9.2,3146,,,,,,Boroondara City Council,,,Southern Metropolitan,10412
Ascot Vale,35 Hurtle St,4,h,1605000,S,Nelson,17-03-2018,4.3,3032,1,1,630,,,Moonee Valley City Council,-37.77253,144.90442,Western Metropolitan,6567
Preston,1/19 Albert St,2,h,625000,S,Nelson,12-11-2016,8.8,3072,,,,,,Darebin City Council,,,Northern Metropolitan,14577
Camberwell,555 Camberwell Rd,3,h,1775000,VB,Jellis,17-06-2017,7.7,3124,1,3,715,,,Boroondara City Council,-37.84361,145.07099,Southern Metropolitan,8920
Roxburgh Park,12 Stillwell Cr,6,h,797500,S,RW,14-10-2017,20.6,3064,4,2,,,,Hume City Council,-37.63558,144.91404,Northern Metropolitan,5833
Thornbury,53 Keon St,4,h,1626000,S,Jellis,03-06-2017,7,3071,1,2,495,120,1925,Darebin City Council,-37.75231,144.99023,Northern Metropolitan,8870
Hadfield,27 West St,3,h,772500,S,Nelson,06-01-2018,11.2,3046,2,2,543,130,1970,Moreland City Council,-37.71329,144.93702,Northern Metropolitan,2606
Mernda,22 Callaway Cr,4,h,741000,S,Stockdale,17-02-2018,25.9,3754,2,2,641,,,Whittlesea City Council,-37.59883,145.08375,Northern Metropolitan,5812
Ivanhoe,4 Edwin St,3,h,990000,S,Nelson,06-05-2017,7.9,3079,2,2,377,,1940,Banyule City Council,-37.7573,145.0496,Eastern Metropolitan,5549
Cheltenham,20 Lorna St,3,h,970000,PI,O'Brien,28-10-2017,17.9,3192,1,2,,,,Bayside City Council,-37.96338,145.06909,Southern Metropolitan,9758
Pascoe Vale,16 Stennis St,4,h,955000,S,Nelson,04-03-2017,9.9,3044,2,2,686,135,1950,Moreland City Council,-37.731,144.9486,Northern Metropolitan,7485
Brunswick,30 Charles St,4,h,1350000,S,Nelson,15-10-2016,5.2,3056,1,1,370,151,1940,Moreland City Council,-37.7728,144.9639,Northern Metropolitan,11918
Mooroolbark,1 Gould Pl,4,h,,W,Carter,16-09-2017,26.5,3138,4,3,892,172,1989,Yarra Ranges Shire Council,-37.76854,145.32169,Eastern Victoria,8280
Blackburn,5 Boongarry Av,5,h,1670000,S,Jellis,03-03-2018,13.4,3130,2,3,886,,,Whitehorse City Council,-37.82598,145.14717,Eastern Metropolitan,5713
Carnegie,7/81 Koornang Rd,2,u,,S,Ray,14-05-2016,11.4,3163,3,1,0,,2013,Glen Eira City Council,-37.8873,145.0572,Southern Metropolitan,7822
Ashburton,4/23 Ashburn Gr,2,u,690500,S,Tim,21-10-2017,10.2,3147,,,,,,Boroondara City Council,,,Southern Metropolitan,3052
Hawthorn,3 Randolph St,3,h,2065000,S,Jellis,12-06-2016,4.6,3122,1,1,351,150,1910,Boroondara City Council,-37.8165,145.021,Southern Metropolitan,11308
Hoppers Crossing,136 Kingston Bvd,3,h,615000,S,Barry,21-10-2017,18.4,3029,2,2,600,151,2000,Wyndham City Council,-37.85701,144.70883,Western Metropolitan,13830
Caulfield East,22A Queens Av,2,h,,S,Jellis,16-09-2017,8.4,3145,1,2,,,,Glen Eira City Council,-37.88498,145.0435,Southern Metropolitan,608
Northcote,38 Whalley St,4,h,1700000,S,McGrath,03-09-2017,5.3,3070,3,4,422,,,Darebin City Council,-37.76969,145.00718,Northern Metropolitan,11364
Werribee,6 Avon Ct,3,h,521000,S,Sweeney,18-11-2017,14.7,3030,,,,,,Wyndham City Council,,,Western Metropolitan,16166
Sunbury,68 Cornish St,3,h,455000,S,YPA,03-06-2017,31.7,3429,2,2,690,,,Hume City Council,-37.57456,144.71548,Western Metropolitan,14092
Heidelberg Heights,19 Collins St,2,h,760000,PI,Nelson,07-10-2017,8.8,3081,1,1,622,85,1950,Banyule City Council,-37.73765,145.05405,Eastern Metropolitan,2947
Glen Iris,2 Bell St,3,h,1310000,S,Marshall,28-08-2016,9.2,3146,1,2,464,,,Boroondara City Council,-37.8539,145.0702,Southern Metropolitan,10412
Strathmore,73 Kernan St,4,h,1540000,VB,Nelson,24-02-2018,8.2,3041,3,2,607,,,Moonee Valley City Council,-37.73638,144.91192,Western Metropolitan,3284
Glenroy,107 Glenroy Rd,4,h,1000000,PI,Barry,27-11-2016,13,3046,2,8,977,304,1935,Moreland City Council,-37.7063,144.9273,Northern Metropolitan,8870
Fawkner,7 Alec Cr,3,h,585000,S,Ray,07-05-2016,12.4,3060,,,,,,Hume City Council,,,Northern Metropolitan,5070
Brunswick,6/22 Saxon St,2,u,606000,SP,Nelson,11-11-2017,5.2,3056,,,,,,Moreland City Council,,,Northern Metropolitan,11918
Aberfeldie,13 Batman St,5,h,2400000,S,Barry,28-05-2016,9.1,3040,2,2,1315,,,Moonee Valley City Council,-37.7548,144.8915,Western Metropolitan,1543
Bentleigh East,9A Murrong Av,3,t,1279000,S,McGrath,10-12-2016,13.9,3165,,,,,,Glen Eira City Council,,,Southern Metropolitan,10969
Rosanna,27 Thomson Dr,4,h,890000,VB,Miles,14-05-2016,11.4,3084,3,2,583,182,1970,Banyule City Council,-37.733,145.0694,Eastern Metropolitan,3540
Port Melbourne,89 Cruikshank St,3,h,1470000,S,Marshall,04-06-2016,3.8,3207,1,0,153,109,1880,Melbourne City Council,-37.8382,144.9469,Southern Metropolitan,8648
Wollert,101 Eaststone Av,4,h,,PI,HAR,18-11-2017,25.5,3750,,,,,,Whittlesea City Council,,,Northern Metropolitan,2940
Dallas,35 Kaniva St,4,h,600000,SP,Barry,07-10-2017,14,3047,2,2,585,144,1997,Hume City Council,-37.66716,144.93495,Northern Metropolitan,2246
Werribee,95 Rosella Av,3,h,558000,S,Ray,21-10-2017,14.7,3030,1,2,693,114,1988,Wyndham City Council,-37.8833,144.66801,Western Metropolitan,16166
Preston,11 Dermot St,3,t,765000,S,Nelson,24-09-2016,8.8,3072,,,,,,Darebin City Council,,,Northern Metropolitan,14577
Hawthorn East,6 Munro St,3,h,,S,Marshall,10-09-2016,7.5,3123,1,1,249,120,1910,Boroondara City Council,-37.8283,145.0467,Southern Metropolitan,6482
Edithvale,65 Fraser Av,2,h,715000,S,Barry,07-10-2017,27,3196,2,1,722,90,1960,Kingston City Council,-38.03842,145.11613,South-Eastern Metropolitan,2546
Coburg,59a Barrow St,2,t,680000,PI,Ray,09-12-2017,6.7,3058,1,0,,,,Darebin City Council,-37.74886,144.97151,Northern Metropolitan,11204
Caulfield South,2/92 Clarence St,3,t,1000000,VB,O'Donoghues,13-05-2017,9.3,3162,2,2,265,,,Glen Eira City Council,-37.8924,145.0154,Southern Metropolitan,5051
Hampton,3/22 Holyrood St,3,t,1140000,S,hockingstuart,26-07-2016,13.7,3188,2,2,224,,1999,Bayside City Council,-37.9336,144.997,Southern Metropolitan,5454
Melbourne,1003/265 Exhibition St,3,u,760000,S,hockingstuart,28-05-2016,2.8,3000,2,1,0,89,1997,Melbourne City Council,-37.8095,144.9691,Northern Metropolitan,17496
Ivanhoe,5/52 Locksley Rd,2,u,739000,S,Miles,07-05-2016,7.9,3079,1,1,648,91,1965,Banyule City Council,-37.7702,145.0493,Eastern Metropolitan,5549
Strathmore,25 Loeman St,5,h,,SP,Frank,03-09-2016,9.7,3041,3,2,677,197,1955,Moonee Valley City Council,-37.7347,144.9219,Western Metropolitan,3284
Coburg,13 Hudson St,4,h,1160000,PI,Jellis,18-06-2016,7.8,3058,2,5,371,,1888,Darebin City Council,-37.7436,144.962,Northern Metropolitan,11204
Sandringham,10 Station St,4,h,1600000,VB,Buxton,10-02-2018,15.2,3191,2,2,446,,,Bayside City Council,-37.9482,145.00452,Southern Metropolitan,4497
Fawkner,10 Emma St,3,h,723000,S,Barry,11-11-2017,13.1,3060,1,2,,140,1970,Hume City Council,-37.7045,144.976,Northern Metropolitan,5070
Brunswick,7 Hall St,4,h,1217000,S,Walshe,27-11-2016,5.2,3056,1,0,363,127,1920,Moreland City Council,-37.7621,144.9506,Northern Metropolitan,11918
Pascoe Vale,7/17 View St,2,t,548000,SP,Pagan,17-03-2018,8.5,3044,,,,,,Moreland City Council,,,Northern Metropolitan,7485
Oak Park,104 Vincent St,3,h,780000,PI,Brad,14-10-2017,11.2,3046,1,1,570,123,1960,Moreland City Council,-37.71611,144.91064,Northern Metropolitan,2651
Niddrie,19 Vaynor St,3,h,,S,Nelson,12-08-2017,10.4,3042,1,1,653,,,Moonee Valley City Council,-37.74516,144.88934,Western Metropolitan,2291
Bentleigh,44 Mitchell St,3,h,,SP,Buxton,10-12-2016,13,3204,2,2,594,,,Glen Eira City Council,-37.9233,145.0389,Southern Metropolitan,6795
Tarneit,1/10 Jordyn St,3,u,405000,SP,Benlor,06-01-2018,18.4,3029,,,,,,Wyndham City Council,,,Western Metropolitan,10160
Box Hill,2/6 Simpsons Rd,2,u,,SP,hockingstuart,06-01-2018,10.9,3128,,,,,,Whitehorse City Council,,,Eastern Metropolitan,4605
Ashwood,2/11 Salisbury Rd,4,t,980000,PI,AIME,18-03-2017,12.2,3147,,,,,,Monash City Council,,,Southern Metropolitan,2894
Montmorency,349 Main Rd,3,h,655000,S,Ray,01-07-2017,16.2,3094,2,3,382,128,1970,Banyule City Council,-37.72857,145.12728,Eastern Metropolitan,3891
Ascot Vale,85 The Parade,3,h,1310000,S,Brad,22-07-2017,4.3,3032,1,2,523,,,Moonee Valley City Council,-37.77255,144.91213,Western Metropolitan,6567
Blackburn,1 Stanley Gr,3,h,1370000,S,RW,10-02-2018,13.4,3130,1,1,882,,,Whitehorse City Council,-37.81281,145.14308,Eastern Metropolitan,5713
Melton West,2 Fairbank Pl,5,h,355000,S,Raine,03-06-2017,31.7,3337,2,2,666,156,1976,Melton City Council,-37.67523,144.55833,Northern Victoria,6065
Hawthorn East,8 Temple St,3,h,,S,Marshall,03-09-2017,6.2,3123,1,,,105,1900,Boroondara City Council,-37.82191,145.05572,Southern Metropolitan,6482
Cremorne,8/98 Dover St,2,h,,S,Biggin,30-07-2016,2.5,3121,1,2,56,106,1997,Yarra City Council,-37.8284,144.9915,Northern Metropolitan,1123
Glen Iris,17 Nerissa St,2,h,1910000,S,Marshall,03-09-2017,7.3,3146,1,1,848,,,Boroondara City Council,-37.85875,145.08441,Southern Metropolitan,10412
Hawthorn,4/162 Barkers Rd,1,h,300000,VB,Ray,13-05-2017,4.6,3122,1,1,0,,,Boroondara City Council,-37.8143,145.0319,Southern Metropolitan,11308
Preston,10 Ruby St,3,h,820000,S,Purplebricks,25-11-2017,8.4,3072,1,1,549,,,Darebin City Council,-37.7456,145.0162,Northern Metropolitan,14577
Parkville,10/238 The Avenue,3,u,1040000,S,Nelson,28-08-2016,2.6,3052,2,1,0,,,Melbourne City Council,-37.7818,144.9576,Northern Metropolitan,2309
Footscray,17 Steet St,4,h,,VB,Biggin,06-01-2018,5.1,3011,2,2,,,,Maribyrnong City Council,-37.78898,144.8877,Western Metropolitan,7570
West Melbourne,1/12 Prout La,3,h,2430000,S,Jellis,09-09-2017,3.1,3003,2,4,,,,Melbourne City Council,-37.80582,144.95165,Northern Metropolitan,2230
Maribyrnong,705/60 Edgewater Bvd,2,u,566000,S,Raine,18-06-2016,8.7,3032,2,1,3014,80,2012,Maribyrnong City Council,-37.7853,144.8944,Western Metropolitan,4918
Richmond,6/323 Church St,3,t,1052000,S,Jellis,20-05-2017,2.6,3121,1,2,0,100,2010,Yarra City Council,-37.8221,144.9988,Northern Metropolitan,14949
Melbourne,903/16 Liverpool St,1,u,,W,Greg,18-03-2017,2.8,3000,1,1,704,52,2005,Melbourne City Council,-37.8111,144.9715,Northern Metropolitan,17496
Cranbourne,31 Waterbury St,4,h,663000,S,LJ,11-11-2017,34.7,3977,2,2,,,,Casey City Council,-38.0842,145.2887,South-Eastern Metropolitan,7680
Carlton,20/264 Drummond St,1,u,490000,S,hockingstuart,29-04-2017,1.8,3053,1,1,0,51,2009,Melbourne City Council,-37.7998,144.9689,Northern Metropolitan,6786
Yarraville,59 Gent St,3,h,1005000,S,Sweeney,16-07-2016,7,3013,1,1,438,115,1960,Maribyrnong City Council,-37.8177,144.8711,Western Metropolitan,6543
Albion,16/20 Talmage St,2,t,319000,SP,Barry,24-09-2016,13.9,3020,1,1,0,78,1970,Brimbank City Council,-37.7796,144.8252,Western Metropolitan,2185
Port Melbourne,602/55 Bay St,1,u,,SN,Morleys,10-09-2016,3.8,3207,1,1,0,58,2006,Melbourne City Council,-37.8416,144.9392,Southern Metropolitan,8648
Glen Iris,1/15 Scott Gr,3,t,1220000,S,Jellis,15-10-2016,9.2,3146,2,2,278,,1999,Boroondara City Council,-37.8574,145.0496,Southern Metropolitan,10412
Port Melbourne,350 Princes St,3,h,2100000,S,Marshall,27-11-2016,3.8,3207,2,1,170,,,Melbourne City Council,-37.835,144.943,Southern Metropolitan,8648
Albert Park,227a Danks St,3,h,2030000,S,hockingstuart,28-08-2016,3.3,3206,2,0,152,,,Port Phillip City Council,-37.8488,144.9551,Southern Metropolitan,3280
Kew,31 Peel St,8,h,3130000,S,Jellis,18-03-2017,5.6,3101,,,,,,Boroondara City Council,-37.8034,145.0331,Southern Metropolitan,10331
Hoppers Crossing,21 Medina Dr,4,h,660000,PI,Sweeney,09-12-2017,18.4,3029,2,2,531,,,Wyndham City Council,-37.86289,144.66946,Western Metropolitan,13830
Yarraville,5 Highgate St,3,h,966000,S,JMRE,27-11-2016,7,3013,2,2,456,,1970,Maribyrnong City Council,-37.823,144.8768,Western Metropolitan,6543
Oakleigh South,3/1073 Centre Rd,3,h,782000,SP,Woodards,11-03-2017,14.7,3167,2,2,0,,,Kingston City Council,-37.9244,145.0885,South-Eastern Metropolitan,3692
Glen Huntly,6/135 Grange Rd,2,h,630000,S,Gary,19-11-2016,10.4,3163,1,1,100,,,Glen Eira City Council,-37.8915,145.0451,Southern Metropolitan,2403
Port Melbourne,18/8 Graham St,3,u,,SN,Biggin,08-04-2017,3.8,3207,2,2,0,138,2001,Melbourne City Council,-37.8424,144.9449,Southern Metropolitan,8648
Gladstone Park,8 Conifer Cl,3,h,660000,S,Barry,09-09-2017,12.9,3043,1,3,467,,,Hume City Council,-37.69271,144.891,Western Metropolitan,3285
Reservoir,28 Mendip Rd,3,h,882500,S,Barry,26-07-2016,11.2,3073,2,2,681,135,1940,Darebin City Council,-37.7217,145.0163,Northern Metropolitan,21650
Williamstown,21a Station Rd,3,t,935000,SP,Sweeney,16-04-2016,8,3016,2,1,233,194,2002,Hobsons Bay City Council,-37.8573,144.8911,Western Metropolitan,6380
Surrey Hills,15 Durham Rd,4,h,,SN,Woodards,22-04-2017,11.2,3127,2,4,1000,232,1880,Boroondara City Council,-37.827,145.0913,Southern Metropolitan,5457
Greenvale,48 Glencairn Dr,4,h,690000,S,Barry,06-01-2018,20.4,3059,2,2,652,200,1988,Hume City Council,-37.64374,144.88919,Northern Metropolitan,4864
Hawthorn,5/8 Brook St,1,u,,PI,Marshall,17-06-2017,5.3,3122,1,1,1004,,1965,Boroondara City Council,-37.81584,145.01919,Southern Metropolitan,11308
Coburg North,3 Whitton Pde,2,h,692500,S,Nelson,28-10-2017,6.7,3058,1,2,,,,Darebin City Council,-37.73449,144.97903,Northern Metropolitan,3445
Braybrook,35 Shepherd St,3,h,840000,S,Douglas,16-09-2017,8.6,3019,1,2,620,93,1960,Maribyrnong City Council,-37.78311,144.85331,Western Metropolitan,3589
Roxburgh Park,24 Centaurus Av,3,h,393200,S,Raine,29-07-2017,20.6,3064,1,1,400,,,Hume City Council,-37.62464,144.9345,Northern Metropolitan,5833
Box Hill,6 Archibald St,3,h,4000000,VB,Lindellas,18-06-2016,13.1,3128,1,2,763,120,1945,Whitehorse City Council,-37.8166,145.1215,Eastern Metropolitan,4605
Avondale Heights,7 Alexander St,5,h,1375000,VB,Nelson,25-11-2017,9.5,3034,,,,,,Moonee Valley City Council,,,Western Metropolitan,4502
Port Melbourne,2 Swallow St,4,h,,S,Marshall,03-03-2018,3.5,3207,2,2,343,205,2000,Melbourne City Council,-37.83962,144.93205,Southern Metropolitan,8648
Brunswick West,911 Park St,4,h,1336500,S,Del,18-11-2017,5.2,3055,1,3,685,,,Moreland City Council,-37.7759,144.9439,Northern Metropolitan,7082
North Melbourne,66/171 Flemington Rd,1,u,,SP,Alexkarbon,29-07-2017,1.8,3051,1,2,5973,,1975,Melbourne City Council,-37.7955,144.94922,Northern Metropolitan,6821
Maidstone,137A Ballarat Rd,3,h,,S,Jas,22-04-2017,9.2,3012,1,1,224,,,Maribyrnong City Council,-37.7851,144.874,Western Metropolitan,3873
Croydon,1/22 Kitchener Rd,3,h,691000,S,Jellis,07-10-2017,23,3136,,,,,,Maroondah City Council,,,Eastern Metropolitan,11925
Springvale,3/85 Regent Av,3,u,700000,PI,iSell,18-11-2017,20.8,3171,,,,,,Greater Dandenong City Council,,,South-Eastern Metropolitan,7412
Reservoir,2/16 Odowd St,3,u,645000,S,Nelson,04-03-2017,11.2,3073,1,2,280,,2002,Darebin City Council,-37.7183,145.0164,Northern Metropolitan,21650
Greensborough,2/5 McDowell St,2,u,540000,S,Darren,26-08-2017,16.1,3088,1,1,208,,1995,Banyule City Council,-37.70791,145.09575,Northern Metropolitan,8524
